,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,gridId
295213,I162033309,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,C11,54,,2016-04-29 10:45:00,2016,4,Friday,10,Part One,MAIN ST,42.37746305,-71.06697969,"(42.37746305, -71.06697969)",7547.0
295255,I162033267,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,12,,2016-04-29 14:15:00,2016,4,Friday,14,Part One,BENNINGTON ST,42.38512136,-71.01150101,"(42.38512136, -71.01150101)",7867.0
295272,I162033250,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,183,,2016-04-29 09:30:00,2016,4,Friday,9,Part One,CLIFTON ST,42.32095643,-71.06992609999999,"(42.32095643, -71.06992610)",4646.0
295359,I162033153,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C6,188,,2016-04-29 07:39:00,2016,4,Friday,7,Part One,SAINT MARGARET ST,42.32183637,-71.05928338,"(42.32183637, -71.05928338)",4749.0
295387,I162033120,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,605,,2016-04-28 09:00:00,2016,4,Thursday,9,Part One,SHEPHERD AVE,42.33297808,-71.10905423,"(42.33297808, -71.10905423)",5231.0
295397,I162033109,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A1,78,,2016-04-28 23:18:00,2016,4,Thursday,23,Part One,BLACKSTONE ST,42.36165196,-71.05630529,"(42.36165196, -71.05630529)",6751.0
295435,I162033055,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,945,,2016-04-28 13:17:00,2016,4,Thursday,13,Part One,WESTVIEW ST,42.29091867,-71.08767813,"(42.29091867, -71.08767813)",3139.0
295484,I162033009,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,329,,2016-04-28 15:21:00,2016,4,Thursday,15,Part One,OLDFIELDS RD,42.30821604,-71.07997835,"(42.30821604, -71.07997835)",4042.0
295539,I162032942,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,344,,2016-04-28 11:23:00,2016,4,Thursday,11,Part One,WESTVILLE ST,42.30010597,-71.0710271,"(42.30010597, -71.07102710)",3645.0
295637,I162032831,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,330,,2016-04-27 21:57:00,2016,4,Wednesday,21,Part One,NORMANDY ST,42.30418986,-71.08377109999999,"(42.30418986, -71.08377110)",3840.0
295682,I162032785,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,303,,2016-04-27 19:13:00,2016,4,Wednesday,19,Part One,COLUMBUS AVE,42.31614182,-71.09833064,"(42.31614182, -71.09833064)",4435.0
295803,I162032674,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,597,,2016-04-27 11:53:00,2016,4,Wednesday,11,Part One,MASSACHUSETTS AVE,42.33992934,-71.08105852,"(42.33992934, -71.08105852)",5641.0
295806,I162032667,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,21,,2016-04-27 13:21:00,2016,4,Wednesday,13,Part One,BREMEN ST,42.37474388,-71.03207627,"(42.37474388, -71.03207627)",7360.0
295829,I162032640,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,461,,2016-04-27 08:00:00,2016,4,Wednesday,8,Part One,ELDON ST,42.303239700000006,-71.07785396,"(42.30323970, -71.07785396)",3743.0
295831,I162032638,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,461,,2016-04-27 09:10:00,2016,4,Wednesday,9,Part One,ELDON ST,42.303239700000006,-71.07785396,"(42.30323970, -71.07785396)",3743.0
295889,I162032584,562,Other Burglary,BURGLARY - OTHER - NO FORCE,B3,426,,2016-04-27 07:44:00,2016,4,Wednesday,7,Part One,BABSON ST,42.27064633,-71.09271881,"(42.27064633, -71.09271881)",2137.0
295958,I162032520,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,321,,2016-04-26 21:12:00,2016,4,Tuesday,21,Part One,WARREN ST,42.31200869,-71.08295425,"(42.31200869, -71.08295425)",4241.0
296064,I162032410,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,638,,2016-04-26 13:00:00,2016,4,Tuesday,13,Part One,BOYLSTON ST,42.31791229,-71.10814896,"(42.31791229, -71.10814896)",4531.0
296110,I162032362,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A1,111,,2016-04-25 17:15:00,2016,4,Monday,17,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",6449.0
296114,I162032357,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,464,,2016-04-26 12:12:00,2016,4,Tuesday,12,Part One,BLUE HILL AVE,42.29171816,-71.08911807,"(42.29171816, -71.08911807)",3138.0
296189,I162032278,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C11,349,,2016-04-26 05:27:00,2016,4,Tuesday,5,Part One,ADAMS ST,42.30263978,-71.06038376,"(42.30263978, -71.06038376)",3749.0
296190,I162032277,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,E5,709,,2016-04-26 04:50:00,2016,4,Tuesday,4,Part One,CENTRE ST,42.28034655,-71.15823035,"(42.28034655, -71.15823035)",2613.0
296238,I162032232,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,913,,2016-04-25 21:32:00,2016,4,Monday,21,Part One,PENINSULA PL,42.31987185,-71.04484536,"(42.31987185, -71.04484536)",4655.0
296267,I162032204,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,320,,2016-04-25 19:33:00,2016,4,Monday,19,Part One,ELM HILL AVE,42.31088458,-71.08643029,"(42.31088458, -71.08643029)",4139.0
296277,I162032192,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,791,,2016-04-25 18:52:00,2016,4,Monday,18,Part One,COREY RD,42.3437315,-71.13875811,"(42.34373150, -71.13875811)",5820.0
296413,I162032064,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,764,,2016-04-25 12:34:38,2016,4,Monday,12,Part One,HARRIET ST,42.35326469,-71.15626648,"(42.35326469, -71.15626648)",6213.0
296444,I162032024,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,B3,421,,2016-04-25 09:51:00,2016,4,Monday,9,Part One,MORTON ST,42.280612299999994,-71.08350146,"(42.28061230, -71.08350146)",2640.0
296473,I162031993,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,E13,579,,2016-04-24 21:00:00,2016,4,Sunday,21,Part One,MOZART ST,42.320564399999995,-71.10444614,"(42.32056440, -71.10444614)",4633.0
296607,I162031842,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,192,,2016-04-24 16:38:00,2016,4,Sunday,16,Part One,PREBLE ST,42.32945117,-71.05665934,"(42.32945117, -71.05665934)",5050.0
296635,I162031813,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,D4,143,,2016-04-24 12:56:00,2016,4,Sunday,12,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",6041.0
296637,I162031812,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,345,,2016-04-24 13:31:00,2016,4,Sunday,13,Part One,BENTHAM RD,42.30328747,-71.06363409,"(42.30328747, -71.06363409)",3748.0
296652,I162031795,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,298,,2016-04-14 15:45:00,2016,4,Thursday,15,Part One,WALNUT AVE,42.32320895,-71.08432965,"(42.32320895, -71.08432965)",4740.0
296697,I162031748,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,799,,2016-04-23 15:00:00,2016,4,Saturday,15,Part One,CHESTER ST,42.35316369,-71.12820416,"(42.35316369, -71.12820416)",6224.0
296798,I162031640,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,572,,2016-04-23 23:36:00,2016,4,Saturday,23,Part One,IFFLEY RD,42.31236627,-71.09933740000001,"(42.31236627, -71.09933740)",4235.0
